date,closing,adjusted,evolution,quantity,volume
12/01/2023,354.4,354.4,-5.98,30982.0,11038041.35
10/01/2023,376.95,376.95,-6.0,17459.0,6771927.05
09/01/2023,401.0,401.0,-4.07,469.0,191518.45
06/01/2023,418.0,418.0,-0.48,50.0,20992.0
05/01/2023,420.0,420.0,0.0,186.0,78120.0
04/01/2023,420.0,420.0,-4.55,527.0,221340.0
03/01/2023,440.0,440.0,2.33,10.0,4400.0
02/01/2023,430.0,430.0,0.0,0.0,0.0
30/12/2022,430.0,430.0,0.76,67.0,28935.0
29/12/2022,426.75,426.75,0.0,0.0,0.0
28/12/2022,426.75,426.75,-5.99,166.0,70840.5
27/12/2022,453.95,453.95,3.41,192.0,84507.9
26/12/2022,439.0,439.0,-0.23,164.0,70565.0
23/12/2022,440.0,440.0,0.01,27.0,11814.9
22/12/2022,439.95,439.95,2.31,2.0,879.9
21/12/2022,430.0,430.0,-1.38,154.0,66270.0
20/12/2022,436.0,436.0,-0.91,8.0,3503.0
19/12/2022,440.0,440.0,0.0,0.0,0.0
16/12/2022,440.0,440.0,0.46,4.0,1760.0
15/12/2022,438.0,438.0,0.92,1.0,438.0
14/12/2022,434.0,434.0,0.93,6.0,2609.0
13/12/2022,430.0,430.0,0.0,0.0,0.0
12/12/2022,430.0,430.0,0.0,0.0,0.0
09/12/2022,430.0,430.0,-0.46,43.0,18490.0
08/12/2022,432.0,432.0,-2.26,143.0,62762.0
07/12/2022,442.0,442.0,-1.78,24.0,10624.0
06/12/2022,450.0,450.0,1.69,10.0,4453.95
05/12/2022,442.5,442.5,0.0,0.0,0.0
02/12/2022,442.5,442.5,-2.74,8.0,3540.0
01/12/2022,454.95,454.95,0.0,0.0,0.0
30/11/2022,454.95,454.95,4.59,1.0,454.95
29/11/2022,435.0,435.0,0.93,23.0,10005.0
28/11/2022,431.0,431.0,-2.05,183.0,79070.0
25/11/2022,440.0,440.0,2.3,4.0,1760.0
24/11/2022,430.1,430.1,-0.21,24.0,10332.5
23/11/2022,431.0,431.0,-5.9,490.0,215039.0
22/11/2022,458.0,458.0,-2.55,25.0,11500.0
21/11/2022,470.0,470.0,4.44,5.0,2350.0
17/11/2022,450.0,450.0,0.0,0.0,0.0
16/11/2022,450.0,450.0,0.0,13.0,5857.0
15/11/2022,450.0,450.0,-3.43,52.0,23420.0
14/11/2022,466.0,466.0,-5.86,165179.0,86594293.8
11/11/2022,495.0,495.0,3.14,937.0,450171.0
